,title,description,link,published
0,Vulnérabilité dans Cisco Catalyst SD-WAN (05 juin 2026),Une vulnérabilité a été découverte dans Cisco Catalyst SD-WAN. Elle permet à un attaquant de provoquer une élévation de privilèges. Cisco indique que la vulnérabilité CVE-2026-20245 est activement exploitée.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0699/,"Fri, 05 Jun 2026 00:00:00 +0000"
1,Multiples vulnérabilités dans les produits SAP (09 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits SAP. Certaines d'entre elles permettent à un attaquant de provoquer une injection SQL (SQLi), une injection de code indirecte à distance (XSS) et un contournement de la politique de sécurité.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0715/,"Tue, 09 Jun 2026 00:00:00 +0000"
2,Multiples vulnérabilités dans OpenSSL (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans OpenSSL. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, un déni de service à distance et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0717/,"Wed, 10 Jun 2026 00:00:00 +0000"
3,Vulnérabilité dans PostgreSQL (10 juin 2026),Une vulnérabilité a été découverte dans PostgreSQL. Elle permet à un attaquant de provoquer une élévation de privilèges.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0718/,"Wed, 10 Jun 2026 00:00:00 +0000"
4,Multiples vulnérabilités dans les produits Spring (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Spring. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, un contournement de la politique de sécurité et un déni de service.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0719/,"Wed, 10 Jun 2026 00:00:00 +0000"
5,Multiples vulnérabilités dans les produits Adobe (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Adobe. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0720/,"Wed, 10 Jun 2026 00:00:00 +0000"
6,Multiples vulnérabilités dans Xen (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Xen. Elles permettent à un attaquant de provoquer une élévation de privilèges, un déni de service à distance et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0721/,"Wed, 10 Jun 2026 00:00:00 +0000"
7,Multiples vulnérabilités dans Typo3 (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Typo3. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0722/,"Wed, 10 Jun 2026 00:00:00 +0000"
8,Vulnérabilité dans Stormshield Network Security (10 juin 2026),Une vulnérabilité a été découverte dans Stormshield Network Security. Elle permet à un attaquant de provoquer une atteinte à la confidentialité des données.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0723/,"Wed, 10 Jun 2026 00:00:00 +0000"
9,Multiples vulnérabilités dans les produits Ivanti (10 juin 2026),De multiples vulnérabilités ont été découvertes dans les produits Ivanti. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et un contournement de la politique de sécurité.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0724/,"Wed, 10 Jun 2026 00:00:00 +0000"
10,Multiples vulnérabilités dans les produits Fortinet (10 juin 2026),De multiples vulnérabilités ont été découvertes dans les produits Fortinet. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et une atteinte à la confidentialité des données.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0725/,"Wed, 10 Jun 2026 00:00:00 +0000"
11,Multiples vulnérabilités dans Microsoft Edge (10 juin 2026),De multiples vulnérabilités ont été découvertes dans Microsoft Edge. Elles permettent à un attaquant de provoquer un contournement de la politique de sécurité et un problème de sécurité non spécifié par l'éditeur.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0726/,"Wed, 10 Jun 2026 00:00:00 +0000"
12,Multiples vulnérabilités dans Microsoft Office (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Microsoft Office. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et une atteinte à la confidentialité des données.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0727/,"Wed, 10 Jun 2026 00:00:00 +0000"
13,Multiples vulnérabilités dans Microsoft Windows (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans Microsoft Windows. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0728/,"Wed, 10 Jun 2026 00:00:00 +0000"
14,Multiples vulnérabilités dans Microsoft .Net (10 juin 2026),De multiples vulnérabilités ont été découvertes dans Microsoft .Net. Elles permettent à un attaquant de provoquer un déni de service à distance et une atteinte à l'intégrité des données.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0729/,"Wed, 10 Jun 2026 00:00:00 +0000"
15,Multiples vulnérabilités dans Microsoft Azure (10 juin 2026),De multiples vulnérabilités ont été découvertes dans Microsoft Azure. Elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance et un contournement de la politique de sécurité.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0730/,"Wed, 10 Jun 2026 00:00:00 +0000"
16,Multiples vulnérabilités dans les produits Microsoft (10 juin 2026),"De multiples vulnérabilités ont été découvertes dans les produits Microsoft. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire à distance, une élévation de privilèges et un déni de service à distance.",https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0731/,"Wed, 10 Jun 2026 00:00:00 +0000"
17,Multiples vulnérabilités dans FreeBSD (10 juin 2026),De multiples vulnérabilités ont été découvertes dans FreeBSD. Elles permettent à un attaquant de provoquer une élévation de privilèges.,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0716/,"Wed, 10 Jun 2026 00:00:00 +0000"
