,title,description,link,published
0,[MàJ] Vulnérabilité dans Zimbra Collaboration Suite (17 juillet 2023),"\[Mise à jour du 26 juillet 2023\] Publication du correctif de sécurité par l'éditeur Le 26 juillet 2023, l'éditeur a publié un correctif de sécurité \[1\] pour cette vulnérabilité immatriculée CVE-2023-37580. Il est donc fortement recommandé de déployer le correctif P41 pour toutes les versions...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-007/,"Mon, 17 Jul 2023 00:00:00 +0000"
1,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (19 juillet 2023),"Le 18 juillet 2023, Citrix a publié un avis de sécurité concernant plusieurs vulnérabilités. La plus critique, dont l'identifiant CVE est CVE-2023-3519, permet à un attaquant non authentifié d'exécuter du code arbitraire à distance. L'équipement est vulnérable s'il est configuré en tant que...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-008/,"Wed, 19 Jul 2023 00:00:00 +0000"
2,Multiples vulnérabilités dans Exim (02 octobre 2023),"Le 27 septembre 2023, Zero Day Initiative (ZDI) a publié six avis de sécurité \[1\] concernant des vulnérabilités de type zéro-jour affectant les versions antérieures à 4.96.1 ou 4.97 de l'agent de transfert de courriels (*Mail Transfer Agent* ou *MTA*) Exim. Le 1er octobre 2023, l'éditeur a...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-010/,"Mon, 02 Oct 2023 00:00:00 +0000"
3,[MàJ] Multiples vulnérabilités dans Cisco IOS XE (17 octobre 2023),\[Mise à jour du 02 novembre 2023\] La version 17.3.8a est disponible. \[Mise à jour du 31 octobre 2023\] Les détails techniques de la vulnérabilité CVE-2023-20198 sont désormais disponibles publiquement. Cette vulnérabilité était déjà massivement exploitée. Tous les équipements exposant...,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-011/,"Tue, 17 Oct 2023 00:00:00 +0000"
4,[MàJ] Vulnérabilité dans Citrix NetScaler ADC et NetScaler Gateway (23 octobre 2023),"\[Mise à jour du 22 novembre 2023\] L'éditeur a publié un document \[3\] le 20 novembre 2023 listant les différents journaux à analyser ainsi que les éléments à rechercher pour identifier une activité pouvant être liée à une compromission. Par ailleurs, la CISA a publié un avis de sécurité le 21...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-012/,"Mon, 23 Oct 2023 00:00:00 +0000"
5,Vulnérabilité dans Apache Struts 2 (13 décembre 2023),"Le 4 décembre 2023, Apache a publié un avis de sécurité concernant la vulnérabilité critique CVE-2023-50164 concernant le cadriciel Struts 2. Cette vulnérabilité permet à un attaquant non authentifié de téléverser une porte dérobée sur un serveur vulnérable, et ainsi exécuter du code arbitraire à...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2023-ALE-013/,"Wed, 13 Dec 2023 00:00:00 +0000"
6,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),"[Mise à jour du 4 mars 2024] Ivanti a publié le 29 février des recommandations de résolution pour les Ivanti Connect Secure ou Policy Secure en machine virtuelle [16]. [Mise à jour du 15 février 2024] l'éditeur a publié le 15 février des correctifs pour les versions suivantes, qui n'en...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,"Thu, 11 Jan 2024 00:00:00 +0000"
7,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),"\[Mise à jour du 29 janvier 2024\] Le 25 janvier 2024, l'éditeur a publié un avis de sécurité concernant plusieurs vulnérabilités affectant GitLab CE et EE. La vulnérabilité CVE-2024-0402 est considérée critique avec un score CVSSv3 de 9,9. Elle permet à un attaquant authentifié d'écrire des...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,"Fri, 12 Jan 2024 00:00:00 +0000"
8,[MàJ] Incident affectant les solutions AnyDesk (05 février 2024),\[Mise à jour du 27 février 2024\] Le 29 janvier 2024 l'ANSSI a été alertée par le BSI que l'éditeur AnyDesk Software GmbH a été victime d'une fuite de données. Le code source des applications développées par l'éditeur ainsi que des certificats et clés privées pourraient avoir été dérobés. De...,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-003/,"Mon, 05 Feb 2024 00:00:00 +0000"
9,[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),"\[Mise à jour du 19 mars 2024\] Le CERT-FR a connaissance de codes d'exploitation publics et de nouvelles tentatives d'exploitation. Le 8 février 2024, Fortinet a publié l'avis de sécurité concernant la vulnérabilité critique CVE-2024-21762 affectant le VPN SSL de FortiOS. Cette vulnérabilité...",https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/,"Fri, 09 Feb 2024 00:00:00 +0000"
